n_spins,n_timepoints,timecost,cuda_max_mem,simulator
10,10,0.4009537696838379,17052672,w
10,10,0.3682405948638916,17052672,wo
10,100,0.3990426063537597,17091072,w
10,100,0.40901780128479,17091072,wo
10,500,0.4801082611083984,17264128,w
10,500,0.5561270713806152,17264128,wo
10,1000,0.6295828819274902,17480192,w
10,1000,0.711479902267456,17480192,wo
10,2000,0.8719058036804199,17911296,w
10,2000,1.104322910308838,17911296,wo
10,3000,1.1224899291992188,18343936,w
10,3000,1.4395599365234375,18343936,wo
100,10,0.3603076934814453,17090560,w
100,10,0.3655095100402832,17090560,wo
100,100,0.3956367969512939,17453568,w
100,100,0.4007899761199951,17453568,wo
100,500,0.4884333610534668,19065344,w
100,500,0.5345094203948975,19065344,wo
100,1000,0.621673583984375,21413376,w
100,1000,0.7221853733062744,21805056,wo
100,2000,0.8838613033294678,32584704,w
100,2000,1.0738704204559326,35070464,wo
100,3000,1.17864727973938,45619712,w
100,3000,1.5018179416656494,49355776,wo
500,10,0.3684206008911133,17274368,w
500,10,0.3716151714324951,17274368,wo
500,100,0.4042990207672119,19076096,w
500,100,0.4089345932006836,19076096,wo
500,500,0.5055301189422607,38609920,w
500,500,0.5752336978912354,40666112,wo
500,1000,0.6594007015228271,71002112,w
500,1000,0.7283167839050293,75158528,wo
500,2000,0.9317135810852052,134124544,w
500,2000,1.3104238510131836,141507072,wo
500,3000,1.1970791816711426,190400512,w
500,3000,2.237481117248535,202937344,wo
1000,10,0.3743367195129394,17504768,w
1000,10,0.3686718940734863,17504768,wo
1000,100,0.3988580703735351,21438464,w
1000,100,0.4035401344299316,21438464,wo
1000,500,0.5236372947692871,71055360,w
1000,500,0.5563786029815674,75176960,wo
1000,1000,0.6476230621337891,134163968,w
1000,1000,0.840550422668457,141515776,wo
1000,2000,0.9123497009277344,249342464,w
1000,2000,1.8483476638793943,266032640,wo
1000,3000,1.148942470550537,381524992,w
1000,3000,3.612492561340332,405449728,wo
2000,10,0.3610577583312988,17964544,w
2000,10,0.3462300300598144,17964544,wo
2000,100,0.3941318988800049,32799232,w
2000,100,0.4055602550506592,34319872,wo
2000,500,0.5225963592529297,134271488,w
2000,500,0.5970175266265869,141561856,wo
2000,1000,0.6315958499908447,249456640,w
2000,1000,1.1129920482635498,266068992,wo
2000,2000,0.8959338665008545,506365440,w
2000,2000,3.050976514816284,538224128,wo
2000,3000,1.1886301040649414,728850432,w
2000,3000,6.137655973434448,778998784,wo
5000,10,0.3780457973480224,19347968,w
5000,10,0.3709125518798828,19347968,wo
5000,100,0.3890180587768554,71552512,w
5000,100,0.3984005451202392,75396608,wo
5000,500,0.5082004070281982,319810560,w
5000,500,0.8211634159088135,339491840,wo
5000,1000,0.6286377906799316,632141824,w
5000,1000,1.9971497058868408,671811584,wo
5000,2000,0.8947453498840332,1209234944,w
5000,2000,6.535442352294922,1292685824,wo
5000,3000,1.203261137008667,1827866624,w
5000,3000,13.99081802368164,1951684608,wo
10000,10,0.3711283206939697,21979136,w
10000,10,0.3849825859069824,21979136,wo
10000,100,0.3872063159942627,135198208,w
10000,100,0.4232709407806396,141799936,wo
10000,500,0.513136625289917,632710656,w
10000,500,1.1788160800933838,671056896,wo
10000,1000,0.6553933620452881,1209873920,w
10000,1000,3.4625115394592285,1290897408,wo
10000,2000,0.8960859775543213,2409893888,w
10000,2000,12.418228149414062,2572709376,wo
10000,3000,1.18880033493042,3611334144,w
10000,3000,27.683448553085327,3855941632,wo
